Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.276162624,-4.010704566,-1.14591559,1.14591559,-0.089772727,0.086363636,1.105681818
0.278673172,-5.729577951,0.572957795,-4.583662361,-0.026136364,0.118181818,1.106818182
0.281184197,-6.302535746,4.010704566,-5.156620156,0.004545455,0.0625,1.102272727
0.283694744,-5.156620156,0.572957795,-1.718873385,-0.030681818,0.102272727,1.101136364
0.286205292,-5.729577951,2.291831181,-2.291831181,0.035227273,0.054545455,1.119318182
0.288715363,-2.864788976,5.156620156,-3.437746771,0.010227273,0.072727273,1.121590909
0.29122591,-5.156620156,-1.718873385,-7.448451337,-0.020454545,0.05,1.086363636
0.293736458,2.864788976,5.156620156,-1.14591559,-0.014772727,0.021590909,1.102272727
0.296247482,0.572957795,3.437746771,-4.583662361,-0.004545455,0.042045455,1.092045455
0.29875803,0,2.291831181,-2.291831181,0.022727273,0.042045455,1.088636364
0.301268578,0.572957795,4.583662361,4.010704566,0.017045455,-0.023863636,1.104545455
0.303779125,-1.14591559,4.583662361,4.010704566,-0.002272727,0.017045455,1.090909091
0.306289673,-8.021409132,4.583662361,-0.572957795,0.05,-0.014772727,1.095454545
0.308799744,-4.010704566,1.718873385,5.156620156,-0.036363636,-0.027272727,1.1
0.311310768,1.14591559,11.4591559,-3.437746771,-0.054545455,-0.038636364,1.114772727
0.313821316,-9.740282517,-7.448451337,-5.729577951,-0.078409091,-0.042045455,1.081818182
0.316331863,4.583662361,6.302535746,-2.864788976,-0.1,0.019318182,1.109090909
0.318842411,7.448451337,8.594366927,-6.302535746,-0.044318182,0.003409091,1.040909091
0.321352959,9.740282517,6.302535746,0,-0.077272727,0.036363636,1.1125
0.323863983,14.32394488,26.92901637,18.33464944,-0.102272727,0.042045455,1.118181818
0.326374531,2.864788976,28.07493196,4.583662361,-0.151136364,0.136363636,1.092045455
0.328884602,-0.572957795,27.50197417,8.594366927,-0.2,0.157954545,0.961363636
0.331395149,1.718873385,-9.740282517,57.29577951,-0.5875,0.365909091,1.131818182
0.333905697,-30.36676314,-48.12845479,63.59831526,-0.571590909,0.378409091,1.207954545
0.336416245,-52.13915936,-61.30648408,44.69070802,-0.330681818,0.379545455,1.264772727
0.338927269,-34.37746771,-23.4912696,-44.69070802,0.231818182,-0.115909091,0.903409091
0.341437817,-16.04281826,-22.91831181,-60.73352628,0.351136364,-0.0375,0.930681818
0.343948364,-21.19943842,-26.92901637,-60.73352628,0.335227273,-0.078409091,0.903409091
0.346458912,5.156620156,69.90085101,8.594366927,-0.286363636,0.2125,1.163636364
0.348968983,-21.77239621,23.4912696,6.875493542,-0.496590909,0.115909091,1.044318182
0.35147953,-24.63718519,36.66929889,-8.594366927,-0.510227273,0.157954545,0.917045455
0.353990078,-8.021409132,-25.21014299,19.48056503,-0.170454545,0.236363636,1.201136364
0.356501103,0.572957795,-5.729577951,4.010704566,-0.169318182,0.219318182,1.077272727
0.35901165,-10.31324031,0,-23.4912696,-0.026136364,0.226136364,1.095454545
0.361522198,-1.718873385,-2.864788976,4.010704566,-0.017045455,0.039772727,1.120454545
0.364032745,-8.594366927,18.33464944,-9.167324722,-0.0375,0.038636364,1.052272727
0.36654377,2.291831181,4.010704566,-9.740282517,0,0.048863636,1.105681818
0.369053364,-12.60507149,0.572957795,-1.718873385,-0.004545455,-0.0375,1.054545455
0.371564388,-5.156620156,-2.291831181,1.14591559,-0.060227273,-0.036363636,1.148863636
0.374074936,-4.583662361,-5.729577951,-1.718873385,0.0125,-0.064772727,1.068181818
0.376585484,9.740282517,24.0642274,-9.740282517,-0.054545455,-0.052272727,1.075
0.379096031,13.17802929,9.167324722,-8.021409132,-0.143181818,-0.060227273,1.1
0.381607056,5.729577951,16.04281826,-3.437746771,-0.140909091,-0.030681818,1.111363636
0.384117603,-13.17802929,-9.740282517,0,-0.143181818,-0.025,1.127272727
0.386628151,-5.156620156,15.46986047,6.875493542,-0.072727273,0.001136364,1.048863636
0.389138222,1.718873385,-3.437746771,13.17802929,-0.131818182,0.040909091,1.126136364
0.391648769,-2.864788976,0,-0.572957795,0.006818182,0.05,1.160227273
0.394159317,-12.60507149,6.302535746,-9.167324722,-0.064772727,0.005681818,1.132954545
0.396669865,-4.583662361,-1.14591559,-2.864788976,0.048863636,0.029545455,1.0875
0.399180889,-2.864788976,-9.167324722,11.4591559,-0.070454545,0.007954545,1.136363636
0.401691437,1.14591559,6.875493542,12.0321137,0.098863636,0.123863636,1.139772727
0.404201984,-8.594366927,6.875493542,16.04281826,0.007954545,0.063636364,1.036363636
0.406712532,-1.14591559,1.718873385,10.88619811,-0.121590909,-0.081818182,1.146590909
0.409222603,-8.594366927,-7.448451337,29.22084755,-0.023863636,-0.153409091,1.106818182
0.411733151,10.88619811,-8.594366927,55.00394833,-0.019318182,-0.077272727,1.140909091
0.414244175,16.61577606,9.167324722,21.77239621,-0.039772727,0.081818182,0.890909091
0.416754723,-2.864788976,8.594366927,25.78310078,-0.055681818,0.020454545,1.073863636
0.41926527,-28.07493196,0,-3.437746771,-0.029545455,0.014772727,1.271590909
0.421775818,-17.18873385,-0.572957795,-1.14591559,-0.113636364,0.161363636,1.193181818
0.424286366,4.010704566,17.18873385,-10.88619811,-0.136363636,0.055681818,0.955681818
0.42679739,-13.75098708,8.021409132,-8.021409132,-0.193181818,-0.011363636,0.971590909
0.429307461,-8.594366927,1.14591559,14.32394488,0.043181818,-0.123863636,1.073863636
0.431818009,6.302535746,15.46986047,-5.729577951,-0.069318182,0.095454545,1.225
0.434328556,4.583662361,-1.718873385,-9.740282517,-0.069318182,0.079545455,1.189772727
0.436839104,-8.594366927,-2.864788976,2.291831181,0.0625,-0.020454545,1.0375
0.439349651,-1.718873385,-4.583662361,12.60507149,0.072727273,-0.034090909,0.893181818
0.441860676,12.0321137,4.583662361,17.76169165,0.020454545,-0.070454545,1.003409091
0.444371224,-17.76169165,-4.010704566,-11.4591559,-0.081818182,-0.140909091,1.1125
0.446881771,-13.17802929,-9.167324722,-10.88619811,0.072727273,-0.032954545,1.120454545
0.449392319,12.0321137,3.437746771,-10.88619811,0.165909091,0.009090909,1.025
0.45190239,-6.302535746,6.302535746,-23.4912696,-0.078409091,0.085227273,0.914772727
0.454412937,-4.010704566,25.21014299,-37.81521448,-0.194318182,-0.0125,0.932954545
0.456923962,-13.17802929,-4.583662361,-9.740282517,-0.043181818,0.007954545,1.195454545
0.459434509,6.875493542,19.48056503,-16.61577606,-0.001136364,-0.022727273,1.330681818
0.461945057,13.75098708,14.89690267,-9.167324722,-0.045454545,0.140909091,1.177272727
0.464455604,-0.572957795,-3.437746771,30.36676314,-0.047727273,0.155681818,1.0125
0.466966152,-1.718873385,2.291831181,2.864788976,0.123863636,0.026136364,0.918181818
0.469477177,-2.291831181,-1.718873385,13.17802929,0.035227273,-0.0625,0.995454545
0.471986771,-5.729577951,4.583662361,2.864788976,0.031818182,-0.028409091,1.25
0.474497795,0.572957795,-21.77239621,-16.04281826,-0.019318182,0.027272727,1.310227273
0.477008343,2.864788976,8.021409132,-5.729577951,0.069318182,0.059090909,1.102272727
0.47951889,-5.729577951,-2.291831181,5.156620156,0.121590909,0.028409091,0.945454545
0.48705101,-18.33464944,-6.302535746,-2.864788976,-0.145454545,-0.103409091,0.994318182
0.489561081,-11.4591559,9.740282517,-9.167324722,-0.123863636,-0.132954545,1.047727273
0.492071628,-12.0321137,-8.021409132,-10.31324031,-0.031818182,-0.136363636,1.204545455
0.494582176,-2.291831181,1.718873385,-12.60507149,-0.055681818,-0.088636364,1.206818182
0.497092724,5.156620156,-10.31324031,-3.437746771,0.039772727,-0.022727273,0.969318182
0.499603748,-2.291831181,5.729577951,-7.448451337,0.086363636,-0.071590909,0.909090909
0.502114296,9.167324722,22.91831181,12.60507149,-0.004545455,-0.203409091,1.134090909
0.504624843,-19.48056503,13.17802929,-17.76169165,-0.072727273,-0.165909091,1.239772727
0.507135391,15.46986047,8.594366927,7.448451337,0.010227273,0.006818182,0.964772727
0.509645939,-6.875493542,-1.718873385,6.302535746,-0.257954545,-0.047727273,1.042045455
0.51215601,-2.864788976,-9.167324722,11.4591559,-0.020454545,-0.088636364,0.9625
0.514666557,0.572957795,5.156620156,5.729577951,-0.071590909,-0.143181818,0.979545455
0.517177582,-4.010704566,16.61577606,-6.875493542,-0.094318182,-0.246590909,1.104545455
0.519688129,-3.437746771,-10.31324031,6.875493542,0.0125,-0.068181818,1.336363636
0.522198677,1.14591559,-4.583662361,7.448451337,0.043181818,-0.011363636,1.179545455
0.524709225,-4.010704566,-2.864788976,-2.291831181,0.023863636,-0.082954545,0.95
0.527220249,-12.0321137,2.291831181,-6.302535746,-0.079545455,-0.011363636,1.010227273
0.529730797,-24.63718519,13.17802929,-14.89690267,-0.136363636,-0.101136364,1.065909091
0.532240868,-18.90760724,-6.302535746,-6.302535746,-0.161363636,-0.094318182,1.201136364
0.534751415,-1.14591559,1.14591559,8.021409132,-0.131818182,-0.1375,1.101136364
0.537261963,6.302535746,-9.167324722,6.875493542,-0.0375,0.001136364,1.143181818
0.53977251,5.156620156,3.437746771,14.32394488,-0.0125,-0.042045455,1.044318182
0.542283535,6.875493542,-4.583662361,30.36676314,0.078409091,-0.059090909,1.068181818
0.544794083,-4.010704566,-2.864788976,9.167324722,0.184090909,-0.093181818,1.030681818
0.54730463,-5.156620156,9.167324722,-2.864788976,0.155681818,-0.157954545,0.961363636
0.549815178,0,0,34.9504255,0.069318182,-0.036363636,1.172727273
0.552325249,-17.18873385,-12.0321137,26.92901637,0.175,-0.132954545,1.2125
0.554835796,4.583662361,9.167324722,13.75098708,0.239772727,-0.072727273,0.996590909
0.557346344,1.14591559,5.156620156,10.31324031,-0.020454545,-0.1,1.186363636
0.559857368,-4.583662361,12.60507149,-0.572957795,-0.106818182,-0.020454545,1.098863636
0.562367916,10.88619811,10.88619811,16.61577606,-0.070454545,-0.038636364,1.126136364
0.564878464,10.31324031,-0.572957795,2.291831181,0.126136364,-0.030681818,1.195454545
0.567389011,-7.448451337,1.718873385,-5.729577951,0.129545455,-0.089772727,1.040909091
0.569900036,4.583662361,2.291831181,1.718873385,0.1375,-0.043181818,1.085227273
0.57240963,-1.14591559,4.010704566,16.04281826,-0.080681818,-0.028409091,1.081818182
0.574920654,1.14591559,11.4591559,-1.14591559,-0.079545455,-0.088636364,1.073863636
0.577431202,10.31324031,25.78310078,2.864788976,-0.057954545,-0.004545455,1.032954545
0.579941749,2.864788976,7.448451337,-2.864788976,-0.214772727,0.090909091,1.022727273
0.582452297,9.167324722,4.583662361,6.875493542,-0.244318182,0.077272727,1.059090909
0.584962845,5.729577951,-6.875493542,4.010704566,-0.288636364,0.085227273,1.029545455
0.587473869,-4.010704566,-11.4591559,-5.729577951,0.071590909,-0.004545455,1.076136364
0.589984417,-14.89690267,-8.021409132,-2.864788976,0.104545455,-0.004545455,1.071590909
0.592494965,-13.17802929,-4.010704566,-5.156620156,0.038636364,-0.030681818,1.086363636
0.592494965,-7.448451337,2.864788976,-2.864788976,0.142045455,-0.084090909,1.055681818
0.597515583,-2.291831181,5.729577951,-2.291831181,0.1625,-0.085227273,1.056818182
